IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
DNAJC5,-0.66324,-0.583702769,0.358562353,-0.19342,-0.31768,-0.235103728,-0.253247375,0.210130891,0.026723799,0.036391307,0.129769591,0.001285841,0.008378387,0.001386663
DNAJC5B,0.40957,0.277628708,-0.292997938,-0.20648,-0.30706,0.13866836,-0.140069177,1,1,1,0,1,1,1
DNAJC5G,0,0,0,0,0.27161,0,1.178022294,1,1,1,0,1,1,1
DNAJC6,0.2288,0.389940773,0.633847011,0.01182,-0.11787,0.339486345,0.34964764,0.751267239,0.631899103,0.483708989,0.9716717,0.526401822,0.096362684,0.107099402
DNAJC7,0.36477,-0.165787617,0.20709826,-0.07561,-0.11393,-0.237758636,-0.304539518,1,0.798489986,0.766259781,0.606520022,0.101298888,0.011927418,0.004222914
DNAJC8,0.39345,0.022612969,0.013559044,-0.28567,-0.293,0.606036273,0.585974418,0.455132807,0.96104745,0.97872808,0.020846206,0.000101879,1.08E-16,4.61E-15
DNAJC9,0.28481,-0.058624956,-0.54328153,-0.49956,-0.7652,-0.437280812,-0.522186819,0.565846511,0.815360141,0.004133202,5.54E-06,1.09E-13,0.000403615,1.63E-06
DNAJC9-AS1,-0.52457,-0.037423018,0.082018595,-0.17877,-0.28256,-0.288708182,0.049235764,1,1,1,0,1,1,0.916818232
DNAL1,0.33733,0.19090107,0.250075233,-0.37416,0.55611,0.878293505,1.225714967,0.557327835,0.502766545,0.331018857,0.150378838,1.25E-06,1.33E-09,5.28E-20
DNAL4,-0.98036,-0.479911498,-0.0290663,-0.3574,0.52359,-0.124436153,0.103725214,0.092243963,0.362873765,0.961821482,0.026105418,5.23E-05,0.636408839,0.722072909
DNALI1,0.19151,0.093258646,0,-0.90572,-0.05289,1.426866282,0.629114673,1,1,1,0.000576908,1,1,1
DNASE1,-0.38113,-0.559408682,-0.203081626,-0.15555,-0.3061,-0.570724739,0.032586844,0.606635141,0.330972176,0.740327909,0.515926365,0.050779945,0.23713967,0.934955788
DNASE1L1,-0.32015,-0.612676962,-0.133754432,-0.12772,-0.09159,-0.595918203,-0.509253773,0.567847529,0.044787401,0.531733694,0.385573349,0.480965643,0.000627866,0.001705383
DNASE1L2,-0.47443,-1.407006181,-1.216634616,-0.37852,-0.50973,-0.735872975,-0.61139007,1,0.071779062,0.105966962,0.408057327,0.067989913,1,1
DNASE1L3,0.49212,0,0.193000226,-0.1207,0.11217,-0.367663102,-0.383612601,1,1,1,0,1,1,1
DNASE2,-0.5962,-0.723617899,-0.629740333,0.04648,0.16936,-1.366835302,-1.282442585,0.165113548,0.185364898,0.247343696,0.762186064,0.063295208,2.01E-17,1.28E-11
DNASE2B,0,-0.207015152,-0.234360568,0,0.13539,-0.390948993,-0.399558107,1,1,1,0,1,1,1
DND1,-1.83944,-0.183905411,0.217331201,-0.10207,-0.42167,-0.691528137,-0.508986895,0.000138801,1,1,0.831189842,0.190392587,0.025894344,0.072215887
DNER,0.07661,0.18787766,1.401444947,0.2584,0.23453,-0.657226796,-1.475007351,1,0.763047832,0.000922807,0.42646999,0.435492526,0.010038884,2.61E-08
DNHD1,-0.00744,-0.337493655,1.023756223,0.28307,-0.27808,0.316915557,0.288799238,0.990598896,0.38956383,0.000145865,0.079283808,0.001852236,0.115875511,0.1024553
DNLZ,-0.0145,-1.389271816,-1.54428814,-1.32285,-0.48503,-0.904237744,-0.909540169,0.98753205,1,1,6.11E-10,0.002117233,0.028750348,0.024005557
DNM1,-0.06411,-0.860942776,-0.748878163,-0.65128,-0.68712,-1.174996871,-0.869042601,0.898144952,9.06E-06,2.09E-05,9.30E-05,3.49E-13,1.21E-17,3.06E-28
DNM1L,0.3835,0.789863602,0.660279184,-0.21586,-0.00828,0.140240437,-0.035668555,0.343396043,0.094116118,0.120681978,0.161612236,0.937351674,0.080796858,0.758384411
DNM1P35,-0.37993,-1.084121849,-1.016330272,-0.04373,-0.17136,-1.039064182,-1.745469395,1,1,1,0,1,1,1
DNM1P41,-0.06913,0.093258646,0.149593464,0,-0.09433,-0.162468055,0.092224953,1,1,1,0,1,1,1
DNM1P46,0.16413,-0.152984254,-0.362114972,0,0.54318,1.832900476,1.673901329,1,1,1,0,1,1,1
DNM2,-0.05933,-0.564424263,-0.082180433,-0.47617,-0.80325,-1.15598491,-0.648327158,0.906146578,0.068275244,0.800545593,0.000305028,7.43E-14,6.93E-45,1.96E-11
DNM3,-0.07847,-0.021348832,-0.296314794,-0.12353,-0.86366,0.302810449,1.347234441,1,0.971371241,0.609295086,0.800312451,0.000487173,0.522150427,6.09E-06
DNM3OS,0.05121,0,0,0,0.11217,1.244773834,0.459183934,1,1,1,0,1,1,1
DNMBP,0.2213,1.091284186,1.213295073,0.89144,0.56272,0.602837723,0.77135653,0.646189287,0.010694013,0.00040639,8.24E-15,1.53E-14,0.000209716,9.30E-18
DNMBP-AS1,0.34256,-0.254867538,-0.332179977,0.81702,0.11684,0.359978262,1.315427406,1,1,1,0,1,1,1
DNMT1,0.07834,0.168978291,0.029363766,-0.41149,-1.08796,-0.054948414,-0.072054232,0.862905821,0.776704931,0.967813896,0.010116126,3.46E-26,0.731946954,0.636149682
DNMT3A,-0.58676,-0.453698223,-0.678657186,0.25735,-0.08086,0.0712803,0.107878899,0.265485954,0.284384733,0.085646648,0.082335262,0.450430754,0.644579856,0.492247047
DNMT3B,-0.2622,-0.278260915,0.018662628,-0.56259,-0.60454,0.01744808,-0.437996231,0.713395654,0.656063608,0.980202195,0.005463588,6.13E-08,0.958297361,0.13002252
DNMT3L,0,0,0.149593464,0,0,0.361349612,1.838113704,1,1,1,0,1,1,1
DNPEP,-0.18967,-0.38381205,-0.373285753,-0.02468,0.0056,-0.284987423,-1.174901961,0.79994777,0.565382349,0.604416342,0.877393372,0.960154345,0.02527506,4.54E-18
DNPH1,-1.00227,-1.634091772,-1.538158183,-1.03984,-0.78742,-1.440565443,-1.564746881,1,1,1,0,1.06E-11,1.45E-05,1.71E-07
DNTT,-0.22504,-0.242479786,-0.358095566,0,-0.0045,0,0,1,1,1,0,1,1,1
DNTTIP1,-0.09115,-0.634336189,-0.126821458,0.27314,-0.04936,0.637722912,0.90175915,0.892113134,0.339087109,0.869813016,0.056558978,0.643121761,4.81E-08,4.61E-15
DNTTIP2,0.42204,0.33371386,0.572276422,0.49085,-0.1012,1.483712595,1.327583487,0.307522586,0.367757457,0.105347175,0.00065534,0.21928038,3.10E-137,1.29E-56
DOC2A,0.13605,-0.968031977,-1.799181292,-0.02237,-0.03865,-0.327860713,-0.638739657,0.893217607,0.156000561,0.005922358,0.953910912,0.843843647,0.388557126,0.1233377
DOC2B,0.04896,-0.539915846,-1.037707391,0.61261,-0.5493,0.577848445,-0.319365103,1,1,1,0,1,1,1
DOC2GP,0.12364,0,0,0.00188,0.04457,0.219008193,-0.528376453,1,1,1,0,1,1,1
DOCK1,0.1358,0.292839779,0.25840403,0.10623,0.13371,-0.591972957,-0.456668948,0.760999657,0.695654808,0.757181281,0.485546553,0.069435227,1.11E-05,0.000170598
DOCK10,0.52089,0.6961048,0.874650719,-0.72291,-0.25091,-0.200714369,0.124514237,0.119486363,0.368441279,0.272072979,0.002828302,0.019801972,0.040215806,0.192529031
DOCK11,0.45262,0.461659131,0.327473791,1.02923,0.96943,-1.216469118,-0.766048169,0.383892528,0.527328398,0.683375125,0.024233371,3.12E-22,1.27E-12,2.40E-07
DOCK2,-0.0563,-0.064683589,0.267312102,0,0.49665,-0.181176475,-0.167686708,0.95810616,0.90469404,0.644270612,0,0.006548287,1,1
DOCK3,-0.16645,0.585092042,0.625350307,-0.11714,0.73946,0.650842243,0.806007942,0.820851306,0.183945779,0.106936804,0,1.91E-09,0.000398836,2.80E-06
DOCK4,0.1314,0.824693452,0.958547124,0.22517,0.61075,1.001343323,0.851430652,0.85927183,0.316132432,0.269027461,0.524046236,5.61E-12,2.58E-14,1.50E-09
DOCK5,-0.20875,0.744680537,0.797085773,0.75196,0.39393,0.08386146,0.186398116,0.617508339,0.216466957,0.159139863,1.98E-05,1.78E-05,0.303809689,0.092387647
DOCK6,-0.11072,-0.358258755,0.011135138,0.53068,0.31974,0.432908816,0.6253012,0.892113134,0.123520354,0.968640913,0.000415383,7.72E-05,0.030573826,0.000263476
DOCK7,0.25559,0.652906041,0.690781944,0.35565,0.64764,0.259492532,0.379921407,0.653607219,0.305195669,0.276264964,0.051392261,5.28E-10,0.109263795,0.00728749
DOCK8,0.18546,-0.183268089,-0.469723768,-0.32926,-0.83049,-1.553600512,-1.017321697,0.84989007,0.767956148,0.4322211,0,7.39E-06,8.73E-07,0.000122174
DOCK9,0.2576,0.478251711,0.376652851,0.32933,0.44118,-0.230526991,-0.153618747,0.663038616,0.541832187,0.672420735,0.07011315,1.23E-07,0.042862066,0.172856995
DOHH,-1.09116,-1.378571781,-1.020037143,-0.66824,-1.1811,0.40617839,-0.359812581,0.077088508,1,1,0,2.03E-08,0.174760142,0.357963003
DOK1,-0.67211,-1.284539473,-1.863898369,0.16345,-0.1641,-0.184352065,-0.211220216,0.299872962,0.058674038,0.00193068,0.632187469,0.206680842,0.577206862,0.609207833
DOK2,0,0,0,0.1079,-0.13651,-0.229847565,-0.012759231,1,1,1,0,1,1,1
DOK3,0.59537,-0.416591455,-0.73103381,-0.31658,-1.70774,0.78936215,0.733752102,0.372379151,0.328492465,0.143521884,0.224280215,1,0.016932174,0.029751161
DOK5,0,0,0,-0.25449,-0.12712,-0.575083535,-1.005443768,1,1,1,0,1,1,1
DOK6,0.23979,0.109151806,0,0,0.30931,-0.109686955,0.052416594,1,1,1,0,1,1,1
DOK7,-0.20762,-0.947551128,-1.789036683,0.14415,-0.24112,-0.335796699,-0.41769669,1,1,1,0.761124774,1,1,1
DOLK,-0.44739,-0.914390411,-0.952378135,-0.75766,-0.95072,-1.362793393,-1.059537054,0.496676682,0.167389247,0.131121316,4.31E-05,1.29E-19,5.56E-14,5.03E-10
DOLPP1,-0.34712,-0.574605282,-0.337871256,-0.20381,-0.58823,-0.448670314,-0.251731554,0.449292982,0.043267383,0.162419803,0.147932951,2.88E-06,0.005621341,0.093300034
DOM3Z,-0.36776,-0.673255019,-0.716644759,-0.26403,-0.1022,1.783038051,1.889749105,0.639044162,0.256879525,0.174529478,0.051825495,0.441055852,8.36E-22,4.00E-26
DONSON,0.12079,0.231998729,0.051144653,-0.56327,-0.61351,0.293408775,0.371793136,0.851384622,0.571609395,0.921602302,0.000385916,3.66E-10,0.056698912,0.009701199
DOPEY1,-0.11732,0.87540671,0.169041403,0.3429,0.35951,0.718804068,0.700487154,0.889663172,0.155064182,0.800683356,0.066148177,0.009600796,0.007459436,0.008948089
DOPEY2,-0.01138,0.331323966,0.428619214,0.92048,0.92828,0.133924955,0.129798402,0.98753205,0.554739103,0.450333617,1.03E-07,6.43E-21,0.619537346,0.589175695
DOT1L,-0.15836,-0.446196268,0.434786072,0.3021,-0.7106,0.877459811,0.825079155,0.821960363,0.240742928,0.157876231,0.092435139,2.93E-13,6.69E-12,1.05E-10
DPAGT1,0.38266,-0.044594301,-0.510281307,-0.47186,-0.16793,-0.6610324,-0.814731891,0.521116208,0.926120212,0.279717873,0.000481465,0.141247205,5.12E-05,1.01E-06
DPCD,0.53671,-0.996538899,-1.201285713,-1.38518,-0.57063,-0.714460503,-0.567271837,0.343396043,1,1,9.24E-13,3.71E-05,0.00112979,0.006232133
DPCR1,0.54903,0.335685397,-1.033511508,0.50431,-0.72031,0.967736764,1.199053805,1,1,1,0.24268091,1,1,1
DPEP2,0,0,0,0.36571,0,0.207347835,-0.144093974,1,1,1,0,1,1,1
DPEP3,0,0,0,0,-0.13135,0,0,1,1,1,0,1,1,1
DPF1,-0.5281,-0.808815713,-1.275343091,-0.62552,-1.53785,0.462855455,0.913814291,0.516936693,0.186075768,0.024850894,0.203198856,1.97E-10,1,1
DPF2,-0.10043,0.049582543,0.104210759,0.20777,0.03952,1.334323829,1.402888228,0.837598247,0.827594884,0.657617546,0.069190768,0.639815492,5.39E-44,2.72E-56
DPF3,0.06253,0.568277276,0.67700106,0.36566,-0.21893,0.101148091,0.103706508,1,1,1,0.509940343,1,1,1
DPH1,-0.66228,-0.688071242,-0.792762136,-0.0694,-0.54025,-0.165619482,0.08753857,0.252364099,0.070591578,0.001158891,0.799263019,2.47E-12,0.421528962,0.625896462
DPH2,-0.27628,-0.209452178,-0.609529715,-0.52423,-0.91644,0.400675343,0.288633641,0.706912458,0.555715459,0.001126591,0.000266712,2.02E-11,0.092816209,0.218911377
DPH3,0.51444,0.245324389,0.270365715,-0.03329,0.50087,0.419623386,0.526467409,0.238951385,0.470116087,0.433289861,0.840137018,7.35E-06,4.53E-08,3.49E-08
DPH3P1,0.00515,0,0,0,0,-0.539807651,-0.189357734,1,1,1,0,1,1,1
DPH5,0.29002,-0.011767624,-0.923699598,0.05218,1.07326,-0.627403534,-0.164891951,0.60638319,0.980232412,0.033347722,0.795751928,1.32E-28,0.00179135,0.424739959
DPM1,0.24607,0.496216969,0.543868871,-0.03012,0.20273,1.353647757,1.351627967,0.704461383,0.266515482,0.170252834,0.822503258,0.082788278,3.55E-38,2.74E-35
DPM2,-0.64737,-1.246359037,-1.388742389,-0.63927,-0.65935,-0.547824647,-0.388834579,0.180930235,1,1,0.001035224,1.71E-11,0.000281856,0.003676435
DPM3,-0.12876,-1.63629947,-1.762383355,-1.01436,-0.8038,0.071963087,0.418715547,0.897721266,1,1,2.31E-07,1.13E-05,0.821838307,0.14583267
DPP10,0.05121,0,0,0,0,0,0,1,1,1,0,1,1,1
DPP3,-0.27777,-0.717104721,-0.535642432,-1.13648,-0.89323,-1.539118687,-1.541468356,0.639044162,0.096433058,0.144645481,1.69E-16,3.83E-25,4.22E-26,1.69E-33
DPP6,0,0,0,0.1079,0,-0.143820366,-0.144093974,1,1,1,0,1,1,1
DPP7,-0.87385,-1.503023087,-1.530460157,-0.76272,-0.47985,-1.147541749,-0.952719772,1,1,1,2.64E-05,8.86E-11,2.84E-11,1.15E-09
DPP8,0.23599,0.554658192,0.56926248,0.39881,0.23224,-0.008126099,0.076256651,0.754529777,0.416632257,0.427258514,0.022024984,0.074286931,0.944455307,0.472917163
DPP9,-0.48835,-0.250731399,0.311086571,-0.00722,-0.47305,-0.474396328,-0.449394795,0.346961147,0.486494756,0.133214203,0.96252382,1.14E-12,4.57E-05,0.000249632
DPPA2,0,0,0,0,-0.31435,-0.162468055,-0.163769368,1,1,1,0,1,1,1
DPPA2P3,-0.02082,0.166673307,0.149593464,0,0.69286,0,0,1,1,1,0,1,1,1
DPPA3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DPPA4,0.05121,0,0,0,0.07802,0,0,1,1,1,0,1,1,1
DPPA5,0,0,0,0,0,-0.162468055,-0.163769368,1,1,1,0,1,1,1
DPRX,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DPRXP4,-0.18558,-0.491449876,-0.428932286,0.36716,-0.15757,-0.143820366,0.117644383,1,1,1,0,1,1,1
DPT,-0.04191,0,0,0.16229,0.37082,-0.162468055,-0.163769368,1,1,1,0,1,1,1
DPY19L1,0.19407,0.711108472,0.690785405,-0.36818,-0.18159,-0.423222657,-0.734117854,0.681018705,0.305252121,0.31546015,0.007362314,0.08196695,8.87E-07,3.83E-11
DPY19L1P1,-0.17758,-0.163952017,-0.104782143,-0.35865,0.82124,0.44589161,0.219311588,0.832456709,0.777540848,0.878470199,0.485546553,2.86E-05,0.065498209,0.514700063
DPY19L2,-0.26409,-0.028634591,-0.897216714,-0.71543,-0.20266,0.310615847,0.36320253,0.760891365,0.952516815,0.059925897,0.090690264,0.243395131,0.314122967,0.17425053
DPY19L2P1,0.30708,0.262180804,-0.333289942,-0.51105,-0.6415,1.21329325,1.546387705,1,1,1,0,0.021513105,1,0.000158777
DPY19L2P2,-0.06522,-0.0877041,-0.939423504,-0.93268,-0.68006,-0.006575533,0.158279525,0.948763723,0.867275751,0.067303663,0.01955414,0.000285013,0.985683204,0.627629414
DPY19L2P3,0.53686,-0.309588838,-1.355519222,-0.99877,0.08187,0.42363138,-0.205416475,1,1,1,0.040768478,1,1,1
DPY19L2P4,0,0,0,-0.08686,0,0,0,1,1,1,0,1,1,1
DPY19L3,0.16591,0.456724886,0.445413449,0.12774,0.84725,-0.875402258,-0.640434037,0.772503322,0.490281414,0.533636478,0.58975685,7.31E-21,9.52E-08,3.51E-05
DPY19L4,0.60576,0.540287743,0.25381176,-0.09949,0.32006,0.19429217,0.018960927,0.092243963,0.461415809,0.76041203,0.737230967,0.022683396,0.233601702,0.922145193
DPY30,0.5094,-0.114309816,-0.407011435,-0.20845,-0.01118,-1.423171411,-1.412282942,0.22069964,0.710830204,0.159307388,0.067670369,0.91574013,4.28E-24,8.77E-26
DPYD,0.19397,1.354225634,1.673340929,-0.18736,1.0578,0.09880838,-0.504828478,0.814841056,0.001341127,4.76E-06,0.304481594,4.93E-15,0.599722907,0.008871901
DPYD-AS1,0,0,0,0,0,-0.162468055,-0.163769368,1,1,1,0,1,1,1
DPYS,0,0.100263907,0,-0.06065,0,0.1981082,0.060816582,1,1,1,0,1,1,1
DPYSL2,0.12037,0.050559353,0.345292191,-0.4387,-0.1042,-0.426596481,-0.590797227,0.779131908,0.894270603,0.293067133,0.000120282,0.243751244,5.05E-12,2.43E-08
DPYSL3,-0.11188,0.138259007,-0.023354692,-0.9887,0.01846,-1.04484912,-0.710626703,0.815505919,0.684762571,0.952939219,1.23E-25,0.880180747,4.18E-06,8.50E-06
DPYSL4,-0.59175,-0.534157997,-0.209990043,0.24252,-0.18806,-0.900700062,-1.164566553,0.420259918,0.12904739,0.509540404,0,1,5.23E-09,1.73E-12
DPYSL5,-0.16538,-0.872433856,-1.480242538,-0.7006,-0.7388,-2.036821542,-1.938636253,0.832542421,0.000721576,2.24E-09,0,4.25E-13,1.73E-19,2.29E-19
DQX1,0.6336,-0.41675501,-0.940584899,-0.01834,-0.23046,-0.415322525,0.258631386,1,1,1,0,0.594076163,1,0.553975249
DR1,0.03612,0.564296938,0.453976809,0.00291,0.03933,0.995154625,1.077074397,0.95810616,0.314459533,0.428866489,0.989330186,0.780786676,5.23E-18,4.89E-21
DRAM1,0.24512,0.635426642,0.70544328,1.0587,1.40746,0.747327636,0.678240908,0.641620323,0.00167698,2.66E-05,5.43E-23,2.97E-57,1.19E-17,5.36E-12
DRAM2,0.41665,0.560272655,0.057773954,0.21193,1.23075,-0.377743052,-0.15077905,0.481075264,0.091235474,0.87496899,0.097095897,2.33E-37,0.010918685,0.267412069
DRAP1,-0.66638,-1.194184514,-0.825423017,-0.08307,-0.13872,-0.379176456,-0.115412062,0.129346044,1,1,0.658843352,0.260576257,0.009115365,0.48492809
DRAXIN,-0.06913,0.093258646,0.812975507,0.36716,0.52581,-0.259637226,-0.381977312,1,1,1,0,1,1,1
DRD1,0.29935,0.737991849,0.297486708,0.73767,0.91003,2.572556945,2.863041178,0.723096928,0.318105214,0.71139798,0,5.63E-14,1.19E-87,7.98E-112
DRD2,0,0.093258646,0.412749921,-0.20812,0,0.50127593,0.418112277,1,1,1,0,1,1,1
DRD3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DRD4,-0.07472,-0.691652142,-0.546179109,-0.672,-0.5196,-0.476572266,0.812997921,1,1,1,0,1,1,1
DRD5,0,0,0,0,0.07802,0,0,1,1,1,0,1,1,1
DRG1,0.58481,-0.663445798,-0.924545527,-0.43443,-0.29514,-0.482517436,-0.253470795,0.094705416,0.300613249,0.13501231,0.000131391,0.026489122,5.31E-05,0.024264182
DRG2,-0.19936,-0.989550139,-0.653215469,-0.17401,-0.39229,-0.151760841,-0.036284297,0.787493847,0.114141013,0.283323794,0.362922705,0.009699765,0.146438471,0.78975637
DRGX,0,0,0.141371609,0,0,0,0,1,1,1,0,1,1,1
DROSHA,0.26125,0.582521808,-0.03827538,0.19376,-0.23781,0.15700917,-0.423949909,0.673060149,0.084849124,0.866206815,0.083447092,0.005797452,0.381249187,0.007104739
DRP2,0.21832,-0.194326615,-0.011265736,-0.79972,-0.61911,0.288901065,0.807641416,0.814994866,0.719816022,0.986030388,0,0.009419572,1,1
DSC1,0,0,0,0.19226,0,0.361881646,0,1,1,1,0,1,1,1
DSC2,-0.13585,0.245340407,1.346010383,0.1531,1.01821,-0.812905109,-0.621506422,0.86675557,0.646873722,0.000891128,0.475653737,2.47E-05,1.67E-07,5.54E-06
DSC3,0.11515,-0.218223754,0.006384433,-0.20919,0.08063,-2.627672816,-1.949311715,0.905048791,0.70671886,0.992691635,0.317151198,0.744803006,1.81E-23,3.29E-20
DSCAM,0.09219,0.093258646,0,0,0,0.366236635,0.394614156,1,1,1,0,1,1,1
DSCAM-AS1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DSCAM-IT1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DSCAML1,0.17347,-1.501045443,-1.723245104,0.24899,-0.97376,0.638252345,1.522585907,0.86140139,1,1,0,0.023177481,1,0.000754627
DSCC1,0.14977,0.359512716,-0.823139229,-0.25711,-0.79873,-0.991810538,-0.634228815,0.786170939,0.27267638,0.004197495,0.235804505,1.50E-12,0.017661475,0.109022875
DSCR10,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DSCR3,-0.07235,0.087973144,0.63913433,0.24872,0.45946,0.69404805,0.57866781,0.914148181,0.80843981,0.03793744,0.042528778,1.01E-09,3.09E-09,5.71E-08
DSCR4,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DSCR6,-0.45405,-0.562373709,-1.983528419,-0.41525,-0.2183,0.49213924,0.034636278,1,1,1,0,0.527339937,1,1
DSCR8,-0.10328,-0.046521601,-0.239784021,0,-0.0454,0,0.818714078,1,1,1,0,1,1,1
DSCR9,-0.3144,-0.800554722,-1.004884706,0.40426,-0.67505,2.159085883,2.483950558,1,1,1,0,1,1,1
DSE,0.19949,0.84933604,1.718253479,0.61929,0.60631,0.612904613,-0.026006731,0.767026559,0.236259078,0.006259843,5.30E-06,2.28E-09,9.44E-05,0.889080861
DSG1,0,0,0,0.51811,0,0,0,1,1,1,0,1,1,1
DSG2,0.12227,0.633429429,1.188675185,-0.02873,0.9783,-1.74895801,-1.436060467,0.790828885,0.388008896,0.094990018,0,4.04E-19,4.32E-194,1.55E-97
DSG3,-0.04191,0,0,1.84933,0.07802,0.822092999,0.258906832,1,1,1,1.13E-37,1,1,1
DSG4,0,0.109151806,0,0.13849,-0.4155,0,0,1,1,1,0,1,1,1
DSN1,0.21246,-0.004873119,-1.206244369,-0.33097,-0.4284,-1.139289409,-1.289571416,0.64611176,0.979697002,5.78E-13,0.035384131,9.75E-06,1.19E-06,3.31E-06
DSP,0.07239,0.83544063,0.647894601,0.81075,0.13522,-0.432127706,-0.83517847,0.913132105,0.266452276,0.400318996,5.71E-12,1,1,4.93E-17
DSPP,0,0.100263907,0,0,0,0.207347835,0.459385195,1,1,1,0,1,1,1
DST,-0.2097,0.43660097,0.56874916,0.36914,0.33659,0.101835355,0.28494296,0.760999657,0.521760095,0.424131037,0.006327907,0.008164801,0.262662294,0.001548844
DSTN,0.47674,0.137250222,0.025981383,-0.45113,-0.07286,-1.22637493,-1.056022053,0.258312545,0.538129364,0.921262335,0.011251331,0.308553866,9.89E-38,6.24E-27
DSTNP2,0.0218,-0.31110924,-0.847601163,-0.17433,0.37722,0.912240824,0.83445528,0.977915229,0.580580432,0.117137967,0.526924338,0.011618173,0.000149507,0.000405891
DSTYK,-0.18489,0.386127689,0.50298829,0.37437,0.72538,-0.453638489,-0.167271793,0.754451242,0.409623345,0.250995816,0.025955628,4.05E-12,0.022311009,0.39029757
DTD1,0.19705,-0.35237814,-0.430148274,-0.19969,0.36927,-0.844979971,-0.61474421,0.613570578,0.477170976,0.403857735,0.287165073,8.23E-08,4.23E-14,3.60E-08
DTD2,0.38938,0.095170318,-0.54674511,-0.31495,0.0368,-1.247738812,-0.972477397,0.41115836,0.734123669,0.045389722,0.224631092,0.799418734,8.64E-05,0.001122054
DTHD1,0,0,0,0.19005,0,0,0,1,1,1,0,1,1,1
DTL,0.184,0.243118462,-0.857706188,-0.49397,-1.47512,-0.653128074,-0.659434632,0.754529777,0.54238127,0.014458138,0.000647999,4.35E-79,0.003397708,0.000446219
DTNA,-0.03441,-0.046521601,-0.124748929,0.80642,0.5022,1.525514022,1.123556979,1,1,1,1.38E-06,1,0.00026151,0.010809404
DTNB,0.30507,-0.671556856,-0.838180642,-0.55992,-0.03252,-0.105685967,0.082262765,0.63175674,0.320529774,0.207720822,0.008019502,0.818636113,0.751321168,0.755669592
DTNBP1,0.22696,-0.458446594,-0.513689994,0.23877,0.36169,0.349463135,0.541495732,0.780484818,0.492070204,0.478454792,0.27757491,0.006747913,0.162001519,0.022067072
DTWD1,0.63717,0.369752776,-0.080828969,0.03856,0.90388,0.395906846,0.457903151,0.268042034,0.347944711,0.834719192,0.893682642,1.20E-13,0.030159596,0.017597871
DTWD2,0.19027,0.219468297,-0.13999988,-0.38353,0.09237,-0.216123439,-0.27660564,0.81424827,0.729610888,0.849532521,0.258278886,0.692052246,0.493897477,0.371983662
DTX1,0.16165,-0.833001074,-0.284823274,0.1661,0.8124,1.030239214,0.279414003,1,1,1,0,1,1,1
DTX2,-0.70158,-1.137696254,-0.413473757,0.79031,-0.47346,-0.354898363,-0.400131354,0.071791854,0.085168779,0.545472419,1.22E-05,1.94E-06,0.011280609,0.066353803
DTX2P1-UPK3BP1-PMS2P11,-0.38207,-0.140497304,0.013654712,0.3502,0.07392,0.637596065,0.209485426,0.638735168,0.750176731,0.978210378,0.40968629,0.749865061,0.070377788,0.630311338
DTX3,-0.36532,-0.36244678,-0.520429969,0.48312,0.2149,0.685936384,0.663256558,0.639995154,0.307161176,0.045896992,0.015076559,0.080693109,0.001110102,0.004130249
DTX4,-0.45353,-0.570381716,-0.230505237,-0.2194,-0.37346,-0.337018335,-0.330643082,0.482254159,0.139229318,0.361953002,0.127893732,0.028235195,0.173658209,0.115479522
DTYMK,-0.01187,-1.424981539,-1.808724094,-1.30172,-1.20888,-1.362440629,-1.092185681,0.98753205,1,1,1.40E-14,2.22E-33,7.45E-08,4.31E-05
DUOXA1,0.19151,-0.128617547,0.391451456,0.48678,0.45624,1.02506281,0.253955017,1,1,1,0,0.254101777,1,1
DUPD1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
DUS1L,-0.16129,-1.155694535,-0.994345964,-0.57438,-0.62015,-0.769646336,-0.876979987,0.836228056,1,1,0.000239416,1.71E-10,2.39E-09,4.46E-08
DUS2L,0.34248,-0.689250609,-1.336580909,-0.43484,-0.44532,-0.32391853,-0.004796535,0.503125121,0.31620375,0.036449408,0.002942891,1.46E-06,0.12577471,0.981584212
DUS3L,-0.06178,-1.156221275,-0.858587155,-0.986,-0.84654,0.644148437,0.480903668,0.939972655,0.091235474,0.190821354,3.33E-06,5.41E-22,0.002991049,0.028297472
DUS4L,0.4141,0.301728694,-0.507784249,0.46631,1.03945,1.116405092,1.024315582,0.543084784,0.356254224,0.072147115,0.021020493,6.29E-26,1.24E-07,8.81E-07
DUSP10,0.11136,0.639499477,1.042842226,1.40728,0.31019,2.390497617,2.560343269,0.905048791,0.060609189,0.000861334,1.75E-42,0.094407692,2.77E-42,4.32E-81
