log2FoldChange,padj
CHRFAM7A,-0.0232011249,NaN
ULK4P1,NaN,NaN
ULK4P2,NaN,NaN
ARHGAP11B,-0.121449392,NaN
LOC100288637,-0.6917303284,NaN
HERC2P10,NaN,NaN
FAN1,-0.6083063446,0.6867674753
MTMR10,-1.6394050783,0.1382433092
TRPM1,-0.1655708024,NaN
MIR211,NaN,NaN
LOC283710,-0.4314279139,NaN
KLF13,-2.7310414593,NaN
OTUD7A,-0.4164817483,NaN
CHRNA7,-0.4334522036,NaN
WHAMMP1,-0.6874453514,NaN
ARHGAP11A,-0.1908919535,NaN
SCG5,-0.2585380245,NaN
GREM1,-2.5981400618,0.0573288624
FMN1,0.0845178777,NaN
TMCO5B,-0.2066732707,NaN
RYR3,-1.6218746878,NaN
AVEN,0.2774830995,0.8490576476
CHRM5,-0.0777814876,NaN
EMC7,0.3585695534,0.8334491732
PGBD4,-0.3852904763,NaN
KATNBL1,0.5660095829,0.6946963503
EMC4,0.4490575872,0.6772407329
SLC12A6,1.3163709395,0.1540034122
NOP10,2.3935511463,0.0006316435
C15orf55,-0.1704955008,NaN
LPCAT4,-2.7533792496,0.0454293048
GOLGA8A,-2.9998852214,0.0071844471
MIR1233-1,NaN,NaN
MIR1233-2,NaN,NaN
GOLGA8B,-1.9414397141,0.0801194119
GJD2,NaN,NaN
ACTC1,-0.4877388517,0.7895460546
AQR,-0.5614277967,0.65804312
ZNF770,-0.0303679416,0.9836971229
ANP32AP1,-0.0232011249,NaN
ATPBD4,-1.6770687257,NaN
MIR3942,-0.1574192489,NaN
ATPBD4-AS1,-0.0984150889,NaN
MIR4510,-0.0815314786,NaN
C15orf41,-1.4526583825,NaN
CSNK1A1P1,-0.0362339798,NaN
LOC145845,-0.0815314786,NaN
MEIS2,-2.4987294408,0.0533662609
TMCO5A,NaN,NaN
SPRED1,-3.9639148165,0.0013345366
FAM98B,0.7811006372,0.5886041188
RASGRP1,-0.1134436904,0.9569118451
C15orf53,-0.1797948016,NaN
C15orf54,-0.1889409245,NaN
THBS1,0.1947846727,0.8466252065
FSIP1,-0.4769437847,NaN
GPR176,-1.4728238763,0.2532190061
EIF2AK4,-2.9860409474,0.0163362368
SRP14,-0.2678499513,0.8191806216
LOC100131089,-1.778937233,NaN
BMF,-0.6735219353,NaN
BUB1B,-0.4222338652,NaN
PAK6,-0.5065852459,NaN
C15orf56,-0.0127306013,NaN
ANKRD63,NaN,NaN
PLCB2,0.2128199704,NaN
C15orf52,-0.7581205991,0.6135288048
PHGR1,NaN,NaN
DISP2,-0.1618145731,NaN
KNSTRN,-1.8318608059,NaN
IVD,-1.616804922,0.2016803208
BAHD1,-1.8611166992,0.085151911
CHST14,-0.2037002962,0.9033906805
MRPL42P5,-0.5806140517,NaN
C15orf57,1.4591774433,0.0749631064
RPUSD2,-1.9003834125,0.1573627301
CASC5,-0.351077117,NaN
LOC100505648,-0.4174414329,NaN
RAD51,-0.6870103543,NaN
RMDN3,-1.3952428628,0.1836955211
GCHFR,-3.0464306003,0.0264220398
DNAJC17,-2.7415650788,0.0451032996
C15orf62,-0.7103600382,NaN
ZFYVE19,-2.7818059571,0.0422194352
PPP1R14D,-0.1838875825,NaN
SPINT1,-0.2696679185,0.8552155844
RHOV,-1.2909990734,NaN
VPS18,-2.8349868971,0.0232614474
DLL4,-2.5248017103,NaN
CHAC1,1.5811913527,0.2498262605
INO80,-1.8878135429,0.0783414004
EXD1,-0.22870819,NaN
CHP1,0.3545150179,0.7514917852
OIP5-AS1,1.064467296,0.4087523627
OIP5,-0.4726838218,NaN
NUSAP1,-1.7206971875,NaN
NDUFAF1,-0.0147657474,0.9941951252
RTF1,-1.7274275133,0.1040200126
ITPKA,-0.4881009422,NaN
LTK,-1.978910431,0.1678461138
RPAP1,-0.6993630389,0.6125976243
TYRO3,0.1779911706,0.914990711
MGA,-1.713668059,0.172280797
MIR626,NaN,NaN
MAPKBP1,-3.0559746671,0.0174013873
JMJD7-PLA2G4B,NaN,NaN
JMJD7,-1.1037527048,NaN
PLA2G4B,-0.0577779504,NaN
SPTBN5,-2.3217404942,NaN
MIR4310,NaN,NaN
EHD4,-1.7883818935,0.0383624288
PLA2G4E,-0.5079024322,NaN
PLA2G4D,-0.2325565026,NaN
PLA2G4F,-1.2763330109,NaN
VPS39,-2.1436969923,0.0489461416
MIR627,NaN,NaN
TMEM87A,-1.0238667705,0.3431847073
GANC,0.8676911673,0.5306194693
CAPN3,-0.730937138,0.5701570442
ZFP106,-2.8875556373,NaN
SNAP23,-1.7393908455,0.0987901418
LRRC57,-2.8864051587,0.0336006988
HAUS2,-1.4598557079,0.2073164933
STARD9,-3.5578801287,0.0059989046
CDAN1,-2.1470191107,NaN
TTBK2,-1.7713192546,NaN
UBR1,-0.0396653361,0.9785843444
TMEM62,1.1223169723,0.2551322138
CCNDBP1,0.7565866748,0.4771518758
EPB42,-0.0472189909,NaN
TGM5,-0.1141508788,NaN
TGM7,NaN,NaN
LCMT2,0.7950479967,0.545092048
ADAL,-1.7077316004,NaN
ZSCAN29,-2.8593831906,0.0353639874
TUBGCP4,-1.0940598924,0.4481142619
RNU6-28,-0.0871423128,NaN
TP53BP1,-1.1914561396,0.3504900897
MAP1A,0.1164483399,0.9524828772
PPIP5K1,-1.7048847688,0.221935112
CKMT1B,-0.0679534862,NaN
STRC,-0.266123144,NaN
CATSPER2,-1.4198175515,NaN
CKMT1A,-0.0577779504,NaN
CATSPER2P1,-0.4045545125,NaN
PDIA3,-0.5295643841,0.6370601435
ELL3,1.6197489902,0.1806721273
SERF2,2.5351529713,6.61E-05
SERF2-C15ORF63,NaN,NaN
MIR1282,NaN,NaN
SERINC4,-2.3364445819,0.092275908
HYPK,0.5871081648,NaN
MFAP1,-3.8107923476,0.0026869905
WDR76,0.6488857235,0.6949583416
FRMD5,-0.2344745159,NaN
PIN4P1,-0.0247642211,NaN
CASC4,-0.5452673723,0.7220901534
CTDSPL2,-3.0585441345,0.0227431028
LOC645212,-2.3910424289,NaN
EIF3J,0.4572502277,0.7320034345
SPG11,-0.0327677236,0.9858644432
PATL2,0.6418815925,NaN
B2M,1.7322206171,0.0647666731
TRIM69,-0.472499672,0.7921697608
C15orf43,-0.0871423128,NaN
SORD,0.0168151005,NaN
DUOX2,-1.6050091288,NaN
DUOXA2,-0.6391275963,NaN
DUOXA1,0.4615254831,0.7698897843
DUOX1,0.958481805,0.3408752034
SHF,-1.8849844461,NaN
SLC28A2,-0.0577779504,NaN
GATM,-1.8232299736,NaN
GATM-AS1,NaN,NaN
SPATA5L1,-2.2846771854,NaN
C15orf48,2.9314111339,0.0234837306
MIR147B,NaN,NaN
SLC30A4,2.7974351061,0.0264220398
HMGN2P46,-1.6902775488,NaN
BLOC1S6,-1.6171023792,0.0937435568
SQRDL,0.9663205255,0.2878043314
SEMA6D,-3.2383032767,0.0145269627
SLC24A5,-0.2325565026,NaN
MYEF2,0.8806948539,NaN
CTXN2,NaN,NaN
SLC12A1,-0.0232011249,NaN
DUT,-1.1529274133,0.3972154829
FBN1,0.7422421478,0.4880563877
CEP152,0.0150531268,NaN
SHC4,-0.7427777267,NaN
EID1,-0.1843800057,0.9072471133
SECISBP2L,0.542581482,0.6540893782
COPS2,-0.6682500052,0.6425793039
GALK2,-2.6403276501,0.0535308203
NDUFAF4P1,NaN,NaN
MIR4716,NaN,NaN
FAM227B,-0.4847512036,NaN
FGF7,-0.3966947643,0.8010067735
DTWD1,-1.1109455361,0.3993433115
ATP8B4,0.6647971636,NaN
SLC27A2,0.8516795507,NaN
HDC,-0.2726258008,0.8849581626
GABPB1,-0.2443941634,0.8512669778
FLJ10038,-2.349424076,0.0902020689
GABPB1-AS1,0.9055983206,NaN
MIR4712,-0.0127306013,NaN
USP8,-0.3154345191,0.830415319
USP50,-0.0247642211,NaN
TRPM7,-1.3739435262,0.2939920964
SPPL2A,0.3290930296,0.8415317299
AP4E1,0.21163936,0.8939651445
DCAF13P3,-0.0558826286,NaN
TNFAIP8L3,-0.9008260825,0.5530115127
CYP19A1,7.4047332496,5.26E-16
MIR4713,NaN,NaN
GLDN,2.8094424711,0.0199175335
DMXL2,1.0820307795,0.4147369024
SCG3,-0.1329716108,NaN
LYSMD2,1.4221228801,0.1908310422
TMOD2,-2.2977312001,0.0994987721
TMOD3,0.2690717883,0.8545107883
LEO1,-1.299675257,0.3191617565
MAPK6,-0.4821186569,0.7473417396
BCL2L10,-0.1154693445,NaN
GNB5,-2.7147192744,0.0486367282
MYO5C,-0.7497879363,0.5626280742
MIR1266,NaN,NaN
MYO5A,-0.6040990686,0.6723581186
ARPP19,0.4876097828,0.6102437183
FAM214A,-0.7442790658,0.5813680848
ONECUT1,NaN,NaN
WDR72,-0.2189791717,NaN
UNC13C,-0.1574192489,NaN
RSL24D1,0.1124405165,0.9277204808
RAB27A,0.4099513043,0.7226282276
PIGB,-2.0185268445,NaN
CCPG1,1.969321228,0.0844177575
DYX1C1-CCPG1,NaN,NaN
MIR628,NaN,NaN
FLJ27352,-0.7366026258,NaN
DYX1C1,-0.3688861561,NaN
PYGO1,1.3532965491,NaN
PRTG,0.3442400442,NaN
NEDD4,-0.0844430033,0.9586922957
RFX7,0.7351693179,0.5831040565
TEX9,-0.5554263153,NaN
MNS1,2.2071313075,NaN
ZNF280D,0.0526753316,0.9768574856
LOC145783,-1.6251332341,NaN
TCF12,-1.4832573915,0.1930885917
LOC283663,-1.8628058207,NaN
CGNL1,-0.9770743995,0.3723638805
GCOM1,NaN,NaN
MYZAP,-3.5308584121,0.0061959655
POLR2M,0.2610731158,0.8675709294
ALDH1A2,-1.230050825,0.3081033653
AQP9,4.9726462663,7.44E-09
LIPC,-0.3726600189,NaN
ADAM10,0.3782930071,0.7900974624
HSP90AB4P,-0.5997381648,NaN
FAM63B,0.5463862598,NaN
SLTM,-1.2151390336,0.2055298781
RNF111,-0.2706878444,0.8664219754
CCNB2,0.1869316364,NaN
MYO1E,-0.0333367979,0.9848530624
MIR2116,-0.0362339798,NaN
LDHAL6B,-0.3185225082,NaN
FAM81A,1.8393997671,0.2056916486
GCNT3,3.3861204068,0.0061436067
GTF2A2,0.1678918616,0.9237557681
BNIP2,-0.5882415654,0.673426374
FOXB1,NaN,NaN
ANXA2,-0.4888782044,0.5873189576
NARG2,-0.5923252022,0.659702932
RORA,-1.7835615265,0.1217109461
VPS13C,0.0030756565,0.9991900064
C2CD4A,1.8683386182,0.0819262367
C2CD4B,1.5264343354,0.0529120699
MGC15885,NaN,NaN
TLN2,-0.6291780492,NaN
MIR190A,NaN,NaN
TPM1,-0.3156400673,0.8434266133
LACTB,0.443582754,0.7389786862
RPS27L,0.5769618359,0.5701570442
RAB8B,2.2664271857,0.0162879762
APH1B,-1.1611177623,0.3712307167
CA12,2.7468214759,0.0228097492
USP3,-0.6959541635,0.6125976243
LOC100130855,-0.7882105326,NaN
FBXL22,0.6345090595,NaN
HERC1,-1.6011202903,0.167553933
DAPK2,-1.8741349856,0.1163719945
FAM96A,-0.4957581568,0.7314387222
SNX1,-0.335102044,0.7317286818
SNX22,-1.5206882247,NaN
PPIB,-1.8237912767,0.1144877725
CSNK1G1,-0.4197835301,0.7756150504
KIAA0101,-0.4236881257,NaN
TRIP4,-0.9657174496,0.4194964947
ZNF609,-0.6828315154,0.6203691661
OAZ2,-2.409329824,0.0426891351
RBPMS2,-0.4299784651,0.798255484
MIR1272,NaN,NaN
PIF1,-0.8879054305,NaN
PLEKHO2,-2.1176859847,0.0725888206
ANKDD1A,-3.0974401394,0.0203713901
SPG21,0.9029045122,0.2953316755
MTFMT,1.0607283786,0.4215594773
SLC51B,-1.1079262792,NaN
RASL12,-2.9179022426,0.0357781223
KBTBD13,-0.1294105475,NaN
UBAP1L,-1.3368443169,NaN
PDCD7,0.0693488836,0.9684698197
CLPX,-1.3846585752,0.2482605245
CILP,0.1210046192,NaN
PARP16,-2.3889046616,NaN
IGDCC3,-0.1704955008,NaN
IGDCC4,-0.5449514538,NaN
DPP8,0.0325589275,0.9858644432
PTPLAD1,0.4908850523,0.7484806535
VWA9,-0.7771748828,0.5258288974
SLC24A1,0.5379505831,0.7235632661
DENND4A,-0.128647641,0.9444677365
MIR4511,NaN,NaN
RAB11A,-0.2273064112,0.8488220478
MEGF11,-0.9243345736,NaN
MIR4311,NaN,NaN
DIS3L,-0.4218024688,0.7821558905
TIPIN,-0.0316690371,NaN
SCARNA14,NaN,NaN
MAP2K1,-0.6680550384,0.6736870302
SNAPC5,-1.0810836754,NaN
RPL4,-1.2858892733,0.055902396
SNORD18C,-1.0972554365,NaN
SNORD18B,-0.4372197613,NaN
SNORD16,-0.5118592526,NaN
SNORD18A,-0.0679534862,NaN
ZWILCH,0.5674192018,0.7200556932
LCTL,-0.090371638,NaN
SMAD6,-0.7007148889,0.6828864066
SMAD3,-0.8720368578,0.4666741473
AAGAB,-0.3544661312,0.7598302186
IQCH,-0.621308759,NaN
IQCH-AS1,-0.981501736,NaN
C15orf61,-1.5000152197,NaN
MAP2K5,-2.551521714,0.0636712584
SKOR1,-0.2189834281,NaN
PIAS1,0.332373076,0.8161457503
CALML4,-3.0460912442,0.0235741248
CLN6,-1.4311839427,0.2421944973
FEM1B,-0.1143547771,0.948891049
ITGA11,-0.1788534968,NaN
CORO2B,-0.9218659226,0.5019727439
ANP32A,2.1209314734,0.0049609834
MIR4312,-0.0127306013,NaN
ANP32A-IT1,-0.1932606892,NaN
MIR548H4,NaN,NaN
SPESP1,-0.496016769,NaN
NOX5,-0.0635296015,NaN
LINC00277,-0.0635296015,NaN
GLCE,-2.3593005611,0.0889704921
PAQR5,0.3580408824,0.8251567044
KIF23,0.9668115463,NaN
RPLP1,-1.0485766138,0.1486743355
LOC145837,-0.3269962684,NaN
LINC00593,NaN,NaN
TLE3,-1.8331631355,0.1078514529
MIR629,-0.0362339798,NaN
UACA,-2.2522761927,0.0643013996
LARP6,-2.5526785374,NaN
THAP10,1.0113585043,NaN
LRRC49,-0.3672684137,0.8064859901
CT62,-0.090371638,NaN
THSD4,-1.0527446669,0.3712307167
NR2E3,-0.5605721947,NaN
MYO9A,-2.1530179601,NaN
SENP8,-0.9920825007,NaN
GRAMD2,-2.1512330134,NaN
PKM,0.2828351536,0.764096518
PARP6,0.5315933289,0.6028145554
CELF6,-1.8415804013,NaN
HEXA,-2.9386837801,0.0062650945
HEXA-AS1,-0.2325565026,NaN
TMEM202,NaN,NaN
ARIH1,-0.5929139027,0.6125976243
MIR630,-0.2325565026,NaN
GOLGA6B,NaN,NaN
HIGD2B,-0.0127306013,NaN
BBS4,-2.8025182334,0.0399467969
ADPGK,-0.2557635246,0.8449709142
ADPGK-AS1,-0.4636432787,NaN
NEO1,0.0749604268,0.9657818651
HCN4,-0.4027778978,NaN
C15orf60,-0.0247642211,NaN
NPTN,-0.7299180737,0.5264780029
CD276,-0.7462796721,0.5413962145
C15orf59,-0.6080318981,NaN
TBC1D21,-0.0232011249,NaN
LOXL1-AS1,-1.0912375436,NaN
LOXL1,-1.6561242386,NaN
STOML1,-2.2661249174,0.1050013687
PML,1.8606778706,0.0104903638
GOLGA6A,-0.0736443519,NaN
LOC283731,-0.22870819,NaN
ISLR2,-0.9774625656,NaN
ISLR,-0.456754748,0.798255484
STRA6,-0.6434586685,NaN
CCDC33,-0.1634306134,NaN
CYP11A1,-0.3846571753,NaN
LOC729739,NaN,NaN
SEMA7A,-1.4527700105,0.3258530654
UBL7,-1.7798869743,0.1476596511
LOC440288,-0.9393037274,NaN
ARID3B,-0.8187442599,0.5715709106
CLK3,-1.7922334798,0.0736312777
EDC3,-3.6989049745,0.0036694016
CYP1A1,-3.8187507083,0.0008962293
CYP1A2,-1.225842228,NaN
CSK,0.9822285907,0.4081892403
MIR4513,-0.0127306013,NaN
LMAN1L,NaN,NaN
CPLX3,-0.0127306013,NaN
ULK3,-3.7490095314,0.0031689963
SCAMP2,0.1805159207,0.8826247625
MPI,0.2902774635,0.8224504061
FAM219B,-2.7364099023,0.0125371763
COX5A,-1.2125215321,0.2055765229
RPP25,-1.9663562653,0.1409730154
SCAMP5,-1.4493842718,NaN
PPCDC,0.1046499124,0.9481482144
C15orf39,0.1929186606,0.894768135
GOLGA6C,-0.0872912526,NaN
GOLGA6D,NaN,NaN
COMMD4,-1.5431117866,0.2215180135
NEIL1,-1.7687915273,0.2204587334
MIR631,-0.2231863501,NaN
MAN2C1,-2.1920930009,0.0616991975
SIN3A,-1.3337705636,0.2814943167
PTPN9,-1.7202389531,0.1154153494
SNUPN,-1.0598002096,0.3956930166
IMP3,-0.4430923029,0.7320034345
SNX33,-1.4489642766,0.2169567833
CSPG4,-2.9552817862,0.0163226276
ODF3L1,-1.1098458058,NaN
DNM1P35,-0.2948227506,NaN
MIR4313,NaN,NaN
UBE2Q2,-0.1521219395,0.9292063117
FBXO22,-2.5099526502,0.0673847827
FBXO22-AS1,NaN,NaN
NRG4,-0.6732786352,NaN
C15orf27,-1.1542784429,NaN
ETFA,-0.5368005938,0.7058373306
TYRO3P,-0.0362339798,NaN
ISL2,NaN,NaN
SCAPER,-1.437518913,0.293899994
RCN2,-2.863597624,0.0254994827
PSTPIP1,-2.3137497537,NaN
TSPAN3,-0.2322128786,0.8724952425
PEAK1,-1.8769896159,0.0897224338
LINC00597,-0.2312654443,NaN
HMG20A,-0.2723213747,0.8492326676
LINGO1,-0.0871423128,NaN
LOC253044,NaN,NaN
LOC645752,-0.1143314714,NaN
LOC91450,-0.4847512036,NaN
TBC1D2B,-2.3947705616,0.0249281873
MIR5003,NaN,NaN
SH2D7,NaN,NaN
CIB2,-1.0001985278,NaN
IDH3A,0.1859746129,0.9174438951
ACSBG1,-0.877521387,NaN
DNAJA4,-0.6563314272,0.669230996
WDR61,-1.0874512021,0.3276621791
CRABP1,-0.0247642211,NaN
IREB2,0.0323343195,0.9853399549
AGPHD1,-0.8743007395,NaN
PSMA4,2.1569760662,0.013093082
CHRNA5,-1.0142957386,NaN
CHRNA3,-0.2189834281,NaN
CHRNB4,-0.0984150889,NaN
LOC646938,NaN,NaN
ADAMTS7,-2.1196654529,NaN
MORF4L1,-0.4250794554,0.7591303226
CTSH,0.7358001784,0.3462370835
RASGRF1,0.4943931846,0.762264118
LOC729911,NaN,NaN
MIR184,NaN,NaN
ANKRD34C,-0.0635296015,NaN
TMED3,-0.3469983399,0.8100682682
KIAA1024,-0.2518603477,NaN
MTHFS,-1.1073926996,NaN
ST20-MTHFS,NaN,NaN
ST20,7.327976626,9.68E-25
C15orf37,-0.7471559529,NaN
BCL2A1,5.7045305595,3.73E-17
ZFAND6,-1.0810054915,0.3641874936
FAH,-0.6377965083,0.6327407528
LOC283688,-0.0362339798,NaN
ARNT2,0.3510169266,0.821821026
FAM108C1,-0.697077306,0.5463198191
KIAA1199,-1.4386102035,0.2978764976
MIR549,-0.0362339798,NaN
MESDC2,0.4962171779,0.7009476185
MIR4514,-0.0127306013,NaN
MESDC1,0.2937837287,0.784575928
C15orf26,2.2230095638,NaN
IL16,0.085896741,0.9610860612
STARD5,2.0182616902,0.0458098617
TMC3,-0.2294131231,NaN
MEX3B,-0.7320928327,NaN
EFTUD1,-2.5089188856,0.0595974727
FAM154B,-0.4334522036,NaN
LOC390660,NaN,NaN
GOLGA6L10,-0.1904494251,NaN
UBE2Q2P3,NaN,NaN
UBE2Q2P2,NaN,NaN
GOLGA6L9,-0.0362339798,NaN
LOC440297,NaN,NaN
LOC727849,NaN,NaN
AGSK1,NaN,NaN
RPS17L,NaN,NaN
RPS17,NaN,NaN
CPEB1,-0.7090789658,NaN
LOC283692,-0.1209089974,NaN
AP3B2,-0.5510249621,NaN
LOC338963,NaN,NaN
LOC283693,-0.0472189909,NaN
SCARNA15,-0.1308493914,NaN
FSD2,-0.1999605323,NaN
WHAMM,0.2096106276,NaN
HOMER2,-1.7215274395,NaN
FAM103A1,-0.2250680271,NaN
C15orf40,-1.7082192744,0.2279939305
BTBD1,-1.0407683636,0.3761682084
MIR4515,NaN,NaN
TM6SF1,0.1552591712,0.9277204808
HDGFRP3,-0.1178578178,0.9444158443
BNC1,-0.4274609625,NaN
SH3GL3,-0.7660749261,NaN
ADAMTSL3,-2.4487486363,0.0777365397
EFTUD1P1,-0.0815314786,NaN
LOC100505679,-0.2659917354,NaN
LOC440300,-0.4911737266,NaN
LOC388152,-0.4687944436,NaN
LOC642423,-0.2049691649,NaN
GOLGA6L4,-0.651764186,NaN
DNM1P41,NaN,NaN
GOLGA6L5,-0.5908822527,NaN
UBE2Q2P1,-0.6188797915,NaN
LOC100506874,-0.4236881257,NaN
ZSCAN2,-1.9280272455,NaN
SCAND2P,1.84837722,0.1686866238
WDR73,-0.9943037329,0.4383179331
NMB,-0.4681725508,0.7311932053
SEC11A,-0.3099024325,0.752364867
ZNF592,-0.6883765003,0.5309846573
ALPK3,-1.0499206205,0.4802660288
SLC28A1,-0.151452841,NaN
PDE8A,-0.3465329298,0.8177333297
AKAP13,-2.1998660728,0.0486367282
KLHL25,-1.1734658836,NaN
MIR1276,NaN,NaN
AGBL1,-0.2700240289,NaN
LOC727915,NaN,NaN
LINC00052,NaN,NaN
NTRK3,-1.528670037,0.3038819271
NTRK3-AS1,-0.1045876358,NaN
MRPL46,-0.9600326363,0.4595915775
MRPS11,-0.5215444278,0.6733598188
DET1,-1.5119591221,NaN
MIR1179,NaN,NaN
MIR7-2,NaN,NaN
MIR3529,NaN,NaN
AEN,-2.7080348478,NaN
ISG20,-0.1255884886,0.9414636925
ACAN,-1.7946050862,NaN
HAPLN3,1.1002573526,0.1469818591
MFGE8,-2.7231546377,0.032479076
ABHD2,-1.6301354519,0.1412173379
RLBP1,-0.0127306013,NaN
FANCI,-1.4858683946,NaN
POLG,-2.429088989,NaN
MIR9-3,NaN,NaN
LOC254559,-0.2665818741,NaN
RHCG,-1.162415936,NaN
LOC283761,-0.0984150889,NaN
TICRR,-0.3156169246,NaN
KIF7,0.3794578677,NaN
PLIN1,-0.4443170044,NaN
PEX11A,-1.4829622761,NaN
WDR93,-0.22870819,NaN
MESP1,-0.1634306134,NaN
MESP2,NaN,NaN
ANPEP,-1.0135910018,0.4159048103
AP3S2,-0.3301024426,NaN
C15orf38-AP3S2,NaN,NaN
MIR5094,NaN,NaN
C15orf38,1.3820998347,0.2872184256
ZNF710,-0.3443849949,0.8415224011
IDH2,-2.3965497985,0.0292887301
SEMA4B,0.8637983021,0.316832213
CIB1,-3.0229950944,NaN
GDPGP1,-0.7521482177,NaN
TTLL13,-0.3385255581,NaN
NGRN,-1.0099245262,0.3414183135
GABARAPL3,-0.0127306013,NaN
ZNF774,-0.4687944436,NaN
IQGAP1,1.6719291557,0.0378591641
CRTC3,-1.7426875298,0.0876976845
BLM,-1.0397136438,NaN
FURIN,-0.7444644331,0.5958537512
FES,-2.9019561747,0.0336579789
MAN2A2,-0.9605249642,0.4515683069
UNC45A,-2.299553909,0.0345273993
HDDC3,-1.5736646427,0.2580178544
RCCD1,-1.5440927227,NaN
PRC1,-0.2920279016,NaN
LOC100507118,-0.1154693445,NaN
VPS33B,-2.3565419556,0.0659417392
SV2B,-1.4051128986,NaN
SLCO3A1,0.4713879617,0.635465424
ST8SIA2,-0.0984150889,NaN
C15orf32,-0.0362339798,NaN
LOC100144604,-0.6256164242,NaN
FAM174B,-3.0148045862,0.0250028995
ASB9P1,NaN,NaN
LOC100507217,-0.1653324799,0.8870958097
CHD2,-1.3249831547,0.22607788
MIR3175,-0.0679534862,NaN
RGMA,-0.838766181,NaN
MCTP2,3.0106693305,0.0022619885
LOC440311,-0.3047401687,NaN
LOC400456,-0.6280276608,NaN
LOC145820,-0.7663220344,NaN
NR2F2,-0.6449379846,0.6874999303
MIR1469,NaN,NaN
SPATA8,NaN,NaN
LOC91948,-0.0127306013,NaN
ARRDC4,-2.0986607059,0.0619017249
FAM169B,-0.1209089974,NaN
IGF1R,-1.4022867759,0.1972072524
MIR4714,-0.0472189909,NaN
PGPEP1L,2.0492853963,NaN
SYNM,-2.1081099073,0.0969290714
TTC23,-1.2476426422,0.3697139419
LRRC28,0.0046112596,0.9981383683
HSP90B2P,-0.4321737102,NaN
MEF2A,-0.4357331041,0.7165714327
LYSMD4,-0.928393635,0.5251189918
DNM1P46,-0.2926542764,NaN
ADAMTS17,-1.0856770276,NaN
FLJ42289,-0.62024451,NaN
CERS3,-0.0472189909,NaN
PRKXP1,-0.4476016631,NaN
LINS,-2.6596028629,0.0521676191
ASB7,0.9113777391,0.4810645191
ALDH1A3,0.8529384758,0.3818602447
LRRK1,-0.7534981506,0.5892839032
CHSY1,-1.245459003,0.3262647131
VIMP,-1.4820735854,0.1800483305
SNRPA1,-2.565375627,NaN
PCSK6,-1.4232419066,0.3032872792
LOC100507472,-0.2788988596,NaN
TM2D3,-0.1704957749,0.9176445307
TARSL2,-2.879488568,0.0339708166
OR4F6,1.1738979849,NaN
OR4F15,NaN,NaN
OR4F13P,NaN,NaN
OR4F4,NaN,NaN
FAM138E,NaN,NaN
WASH3P,-2.0846032117,0.1160208256
DDX11L9,NaN,NaN
DDX11L10,-0.0247642211,NaN
POLR3K,0.174089556,0.9121191487
SNRNP25,0.3999794864,0.8100402527
RHBDF1,-2.8275015997,0.0117708155
MPG,-2.1340856922,0.0543174805
NPRL3,-0.5439816571,0.7106195676
HBZ,-0.1209089974,NaN
HBM,0.624287464,NaN
HBA2,3.2098857276,0.0094294006
HBA1,3.6444497588,0.0026651508
HBQ1,-0.1764056863,NaN
LUC7L,-1.7354861501,0.0620689229
ITFG3,-2.3536904826,0.0648146438
RGS11,-1.3357466548,0.3780512887
ARHGDIG,-0.1932693616,NaN
PDIA2,-0.2831446205,NaN
AXIN1,-2.4548683757,0.0539610014
MRPL28,-2.5017846816,NaN
TMEM8A,-1.9076097602,0.0831420974
LOC100134368,-0.2525952502,NaN
NME4,-0.7178604305,0.6086664299
DECR2,-1.6963103671,0.2436020487
RAB11FIP3,-3.1807129064,0.0179109061
LINC00235,-0.0127306013,NaN
SOLH,-0.2306220127,0.8771915121
MIR5587,NaN,NaN
MIR3176,-0.0127306013,NaN
C16orf11,NaN,NaN
NHLRC4,-0.6923369207,NaN
PIGQ,-1.0840637987,0.4485816519
RAB40C,-1.7069426487,0.2010873112
WFIKKN1,-0.4180372526,NaN
C16orf13,-1.28373224,0.3070187041
FAM195A,0.1468682958,NaN
WDR90,-1.1535598063,NaN
RHOT2,-1.0877412492,0.3721581955
RHBDL1,-0.0577779504,NaN
STUB1,-3.2006989989,0.0180264214
JMJD8,-1.0550380747,0.4715041971
WDR24,-1.3738095035,NaN
FBXL16,-0.1900970739,NaN
METRN,-1.666029955,NaN
FAM173A,-1.9838164926,NaN
CCDC78,-0.8945232152,NaN
HAGHL,-1.1573775453,NaN
NARFL,-0.9014641733,0.5384421945
MSLN,-1.3663124261,0.3246309175
MIR662,NaN,NaN
RPUSD1,0.0818790807,0.966248911
CHTF18,-1.5111573508,NaN
GNG13,NaN,NaN
PRR25,NaN,NaN
LMF1,-1.11774778,0.4583871435
SOX8,-0.6880656552,NaN
SSTR5-AS1,NaN,NaN
SSTR5,3.1324416975,NaN
C1QTNF8,NaN,NaN
CACNA1H,-0.2058527096,0.9108424619
TPSG1,-0.9266941957,NaN
TPSB2,4.6135269621,4.31E-09
TPSAB1,1.8435433792,0.0256925281
TPSD1,-1.554498511,NaN
UBE2I,-0.3935859535,0.770961069
BAIAP3,0.4983596572,NaN
TSR3,-1.7477772353,NaN
GNPTG,-0.533130305,NaN
UNKL,-1.8091852848,0.1542691838
C16orf91,-1.8897760111,0.1320733514
CCDC154,-0.8692228209,NaN
CLCN7,-3.3517683228,0.0103505826
PTX4,NaN,NaN
TELO2,-1.9517233311,0.1517361928
IFT140,-0.9047951046,0.5445612701
